embedding_name,model_id,embed_dim,multilingual,max_seq_length_tokens,embed_batch_size,prefix_query,prefix_passage,chunking_name,chunking_strategy,chunk_size,chunk_size_unit,chunk_size_effective_tokens,chunk_overlap,retrieval_name,retrieval_mode,top_k,score_threshold,rerank,add_neighbors,alpha,ALERTE_troncature
minilm-l6,sentence-transformers/all-MiniLM-L6-v2,384,False,256,64,,,fixed-256-0,fixed,256,tokens,256,0,dense-k5,dense,5,,False,False,,non
minilm-l6,sentence-transformers/all-MiniLM-L6-v2,384,False,256,64,,,fixed-256-0,fixed,256,tokens,256,0,dense-k10,dense,10,,False,False,,non
minilm-l6,sentence-transformers/all-MiniLM-L6-v2,384,False,256,64,,,fixed-256-0,fixed,256,tokens,256,0,dense-k5-thresh,dense,5,0.35,False,False,,non
minilm-l6,sentence-transformers/all-MiniLM-L6-v2,384,False,256,64,,,fixed-256-0,fixed,256,tokens,256,0,dense-k5-neigh,dense,5,,False,True,,non
minilm-l6,sentence-transformers/all-MiniLM-L6-v2,384,False,256,64,,,fixed-256-0,fixed,256,tokens,256,0,hybrid-k5,hybrid,5,,False,False,0.5,non
minilm-l6,sentence-transformers/all-MiniLM-L6-v2,384,False,256,64,,,fixed-256-0,fixed,256,tokens,256,0,dense-k20-rerank5,dense,20,,True,False,,non
minilm-l6,sentence-transformers/all-MiniLM-L6-v2,384,False,256,64,,,fixed-512-64,fixed,512,tokens,512,64,dense-k5,dense,5,,False,False,,OUI (512 > 256)
minilm-l6,sentence-transformers/all-MiniLM-L6-v2,384,False,256,64,,,fixed-512-64,fixed,512,tokens,512,64,dense-k10,dense,10,,False,False,,OUI (512 > 256)
minilm-l6,sentence-transformers/all-MiniLM-L6-v2,384,False,256,64,,,fixed-512-64,fixed,512,tokens,512,64,dense-k5-thresh,dense,5,0.35,False,False,,OUI (512 > 256)
minilm-l6,sentence-transformers/all-MiniLM-L6-v2,384,False,256,64,,,fixed-512-64,fixed,512,tokens,512,64,dense-k5-neigh,dense,5,,False,True,,OUI (512 > 256)
minilm-l6,sentence-transformers/all-MiniLM-L6-v2,384,False,256,64,,,fixed-512-64,fixed,512,tokens,512,64,hybrid-k5,hybrid,5,,False,False,0.5,OUI (512 > 256)
minilm-l6,sentence-transformers/all-MiniLM-L6-v2,384,False,256,64,,,fixed-512-64,fixed,512,tokens,512,64,dense-k20-rerank5,dense,20,,True,False,,OUI (512 > 256)
minilm-l6,sentence-transformers/all-MiniLM-L6-v2,384,False,256,64,,,fixed-1024-128,fixed,1024,tokens,1024,128,dense-k5,dense,5,,False,False,,OUI (1024 > 256)
minilm-l6,sentence-transformers/all-MiniLM-L6-v2,384,False,256,64,,,fixed-1024-128,fixed,1024,tokens,1024,128,dense-k10,dense,10,,False,False,,OUI (1024 > 256)
minilm-l6,sentence-transformers/all-MiniLM-L6-v2,384,False,256,64,,,fixed-1024-128,fixed,1024,tokens,1024,128,dense-k5-thresh,dense,5,0.35,False,False,,OUI (1024 > 256)
minilm-l6,sentence-transformers/all-MiniLM-L6-v2,384,False,256,64,,,fixed-1024-128,fixed,1024,tokens,1024,128,dense-k5-neigh,dense,5,,False,True,,OUI (1024 > 256)
minilm-l6,sentence-transformers/all-MiniLM-L6-v2,384,False,256,64,,,fixed-1024-128,fixed,1024,tokens,1024,128,hybrid-k5,hybrid,5,,False,False,0.5,OUI (1024 > 256)
minilm-l6,sentence-transformers/all-MiniLM-L6-v2,384,False,256,64,,,fixed-1024-128,fixed,1024,tokens,1024,128,dense-k20-rerank5,dense,20,,True,False,,OUI (1024 > 256)
minilm-l6,sentence-transformers/all-MiniLM-L6-v2,384,False,256,64,,,recursive-512-64,recursive,512,tokens,512,64,dense-k5,dense,5,,False,False,,OUI (512 > 256)
